key,model,rule,y_cum20,y_peak,y_trough,y_std,y_tpeak,y_ttrough,piq_cum20,piq_peak,piq_trough,piq_std,piq_tpeak,piq_ttrough,irate_cum20,irate_peak,irate_trough,irate_std,irate_tpeak,irate_ttrough,rrate_cum20,rrate_peak,rrate_trough,rrate_std,rrate_tpeak,rrate_ttrough,cluster_raw,k_selected,silhouette
US_FM95||Growth,US_FM95,Growth,1.607873709872365,0.1255902647972107,8.900000169927548e-18,0.03809050673102598,7,0,1.2223100243136287,0.07585611194372177,0.010079228319227695,0.018780793339487508,11,0,-2.464048597961664,0.08367793262004852,-0.9990550875663757,0.29936689584771403,17,0,-3.7255242839455605,0.029981616884469986,-1.0181101560592651,0.2860147872685845,20,0,1,2,0.3978362051613031
US_FM95||Inertial_Taylor,US_FM95,Inertial_Taylor,1.1791177150444128,0.10743660479784012,-0.00043239298975095153,0.03709845068697473,6,20,0.8146367291919887,0.051261596381664276,0.007564723026007414,0.012101556658684676,10,0,-2.467323894612491,0.08580802381038666,-0.9992908239364624,0.3010369088013011,15,0,-3.3023198563605547,0.04537461698055267,-1.0135661363601685,0.2939058266577914,17,0,1,2,0.3978362051613031
US_FM95||Taylor,US_FM95,Taylor,0.09774355179979466,0.011130844242870808,-0.000112674999400042,0.0038638611544775355,3,20,0.06135122722480446,0.00371375004760921,0.0006903749890625477,0.0008014380807297942,9,0,-0.8647269990760833,0.008794820867478848,-0.9997411370277405,0.21434716584565802,6,0,-0.9276069162879139,0.005356736481189728,-1.001024603843689,0.21396206421936634,5,0,1,2,0.3978362051613031
US_FMS134||Growth,US_FMS134,Growth,4.712576694786549,0.34589672088623047,0.10541822016239166,0.0778753936686977,3,20,0.26457959366962314,0.046201836317777634,-0.011254235170781612,0.019311015914685866,1,20,-3.2373205944895744,-0.026563577353954315,-0.9751517176628113,0.24764533309949438,13,0,-3.4460081458091736,-0.020879967138171196,-1.0213536024093628,0.2630620421456051,17,0,1,2,0.3978362051613031
US_FMS134||Inertial_Taylor,US_FMS134,Inertial_Taylor,1.6862734961905517,0.2210117131471634,0.0009061180171556771,0.07560702069571079,2,20,-0.06438472610898316,0.01079472154378891,-0.007953573949635029,0.005963145369010918,0,11,-3.2229972414206713,-0.0035558189265429974,-0.9835017323493958,0.2625200684753828,14,0,-3.1437319454271346,0.003659903071820736,-0.9936649799346924,0.26746026882024315,13,0,1,2,0.3978362051613031
US_FMS134||Taylor,US_FMS134,Taylor,0.07722554628026046,0.019150594249367714,-5.18000015290454e-05,0.005449902416862536,0,20,-0.004813055926206289,0.0004574730119202286,-0.00039958598790690303,0.00021377962681242273,0,8,-0.9681611506966874,0.008504836820065975,-0.9902531504631042,0.21113148390207243,1,0,-0.962726138313883,0.008497687056660652,-0.9904941916465759,0.2112426689078869,1,0,1,2,0.3978362051613031
US_FRB03||Growth,US_FRB03,Growth,11.085137681104243,1.2718861103057861,-0.12574699521064758,0.4681866792035039,4,20,3.3808471310767345,0.325330913066864,0.00039173400728031993,0.10943142980982956,5,0,-0.9321400197222829,0.3088839054107666,-1.009499430656433,0.3187446176052322,7,0,-4.338175177574158,0.045765817165374756,-1.1670989990234375,0.3214525528472129,7,0,0,2,0.3978362051613031
US_FRB03||Inertial_Taylor,US_FRB03,Inertial_Taylor,4.342894427711144,0.5227521657943726,-0.039764925837516785,0.18963726705666512,4,20,1.7615283006889513,0.13691124320030212,0.0002039359969785437,0.03552244587346501,5,0,-1.4419197775423527,0.15084193646907806,-1.0108853578567505,0.31383983760015366,10,0,-3.252095352858305,0.07025305181741714,-1.07621431350708,0.32243937260521227,11,0,1,2,0.3978362051613031
US_FRB03||Taylor,US_FRB03,Taylor,0.4233923974679783,0.04976615682244301,-0.0036077070981264114,0.01759981838950025,4,20,0.13204918012343114,0.01193788181990385,3.5434401070233434e-05,0.003873235867713822,5,0,-0.7381437685107812,0.030356135219335556,-1.011343002319336,0.21856270219040203,6,0,-0.8709010101156309,0.01941104605793953,-1.017115831375122,0.2183053955737737,6,0,1,2,0.3978362051613031
US_FU19||Growth,US_FU19,Growth,7.0534394681453705,0.5289368629455566,0.14890098571777344,0.12078001645035719,2,20,0.8124849402229302,0.07585417479276657,0.00038416701136156917,0.02503729413509303,2,20,-2.3954489775933325,0.00871591828763485,-0.9500736594200134,0.2438163483054744,11,0,-3.144622185267508,-0.011165288276970387,-1.025099754333496,0.26174722149418184,16,0,1,2,0.3978362051613031
US_FU19||Inertial_Taylor,US_FU19,Inertial_Taylor,2.1464500937145203,0.34077322483062744,-0.003384128911420703,0.11903313569126842,1,20,0.032098069656058215,0.012518697418272495,-0.0034913390409201384,0.005530247277264005,1,18,-2.858431812375784,0.005219780839979649,-0.9662841558456421,0.256249101214502,12,0,-2.8762714094482362,0.007918430492281914,-0.9788028597831726,0.2610485270701147,12,0,1,2,0.3978362051613031
US_FU19||Taylor,US_FU19,Taylor,0.1632467319971056,0.07059920579195023,-0.00010366900096414611,0.01670958237075821,0,20,0.0012819110390864807,0.0006933070253580809,-0.00014078100502956659,0.0002565139241238565,0,19,-0.9161381727280968,0.019646843895316124,-0.9644404053688049,0.20595517656175247,1,0,-0.9165887622730224,0.019174911081790924,-0.9650744795799255,0.20608850943952126,1,0,1,2,0.3978362051613031
US_FV15||Growth,US_FV15,Growth,1.2449140672106296,0.12874194979667664,0.002786915982142091,0.043735386702322715,3,20,0.87160579347983,0.08871472626924515,0.0039689671248197556,0.029497294076568537,3,20,-2.7217793026939034,0.028751222416758537,-0.9870613217353821,0.27319663651044584,12,0,-3.5495728934183717,0.012491217814385891,-1.0604019165039062,0.29603545506201295,15,0,1,2,0.3978362051613031
US_FV15||Inertial_Taylor,US_FV15,Inertial_Taylor,0.8241186162922531,0.10505051910877228,-0.005286530125886202,0.03971583152475919,3,20,0.5365815344266593,0.0572957806289196,0.00532991299405694,0.018637149375118997,3,20,-2.830536877270788,0.029880303889513016,-0.9895150661468506,0.2763102634883829,12,0,-3.3407196826301515,0.019974689930677414,-1.0385409593582153,0.29180086359380675,13,0,1,2,0.3978362051613031
US_FV15||Taylor,US_FV15,Taylor,0.03112732550016517,0.007047581020742655,-0.0001705089962342754,0.002047802364060256,0,20,0.017946601990843192,0.001854583970271051,0.00027449699700810015,0.0005427582897127135,2,20,-0.9581528332200833,0.00427086278796196,-0.9960070252418518,0.21251604278198766,3,0,-0.9751128209754825,0.002671410795301199,-0.9977511167526245,0.212722851103944,3,0,1,2,0.3978362051613031
US_HL16||Growth,US_HL16,Growth,0.384937506634742,0.06976928561925888,0.0018372529884800315,0.02181303642719663,1,20,0.8502172269945731,0.17796564102172852,0.0001697410043561831,0.05823252364143369,1,20,-2.7239086408517323,0.005808814894407988,-0.9785974025726318,0.2606682711430848,11,0,-3.4193187679629773,0.004168930929154158,-1.1565630435943604,0.31266360675241506,12,0,1,2,0.3978362051613031
US_HL16||Inertial_Taylor,US_HL16,Inertial_Taylor,0.3576296642422676,0.06700573861598969,0.0016661989502608776,0.02097823239499844,1,20,0.7029997042409377,0.16159218549728394,-0.0012165539665147662,0.053230330776398764,1,15,-2.764124538287433,0.0060011171735823154,-0.9799851179122925,0.2620851377204872,11,0,-3.3231157630798407,0.006639378145337105,-1.1415772438049316,0.3093359367565782,11,0,1,2,0.3978362051613031
