outcome,label,model_family,feature,coefficient,abs_coefficient,is_zero,p_value
sacratio20,sacratio,huber_l1,stky_wg__x__wg_ndx,0.15753888992290127,0.15753888992290127,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__pr_ndx,0.15753888992290127,0.15753888992290127,False,0.0
sacratio20,sacratio,huber_l1,wlth__x__ln_neq,-0.15039600562087635,0.15039600562087635,False,4.198131779622217e-10
sacratio20,sacratio,huber_l1,bnkcrdit__x__vint_late,-0.14599402291753028,0.14599402291753028,False,0.0
sacratio20,sacratio,huber_l1,vint_mid,-0.14393789561458592,0.14393789561458592,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__ntwrth,0.10137243923890266,0.10137243923890266,False,0.0
sacratio20,sacratio,huber_l1,wlth__x__vint_late,0.06713984135089168,0.06713984135089168,False,0.0
sacratio20,sacratio,huber_l1,bnkcrdit,0.05938855849605605,0.05938855849605605,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__vint_late,-0.05384792542033226,0.05384792542033226,False,0.0
sacratio20,sacratio,huber_l1,cb_authors_ext__x__ln_neq,0.011962669619716818,0.011962669619716818,False,3.96637384185045e-16
y_timing_max,y-timing,nb_l1,estimated__x__cb_authors_ext,0.34785835534059245,0.34785835534059245,False,0.47886321926267383
y_timing_max,y-timing,nb_l1,cb_authors_ext,0.2996375940109802,0.2996375940109802,False,0.23133370206954906
y_timing_max,y-timing,nb_l1,estimated__x__ntwrth,-0.04763722851053536,0.04763722851053536,False,0.5583982068406541
y_timing_max,y-timing,nb_l1,vint_mid,-0.006464821597064448,0.006464821597064448,False,0.6501930278684813
